video,type,n_paires,mean_velocity_mean,max_velocity_mean,direction_mean,spatial_correlation_mean,vorticity_mean,divergence_mean,elongation_mean,dispersion_angle_mean,expansion_rate_mean,mean_velocity_std,max_velocity_std,direction_std,spatial_correlation_std,vorticity_std,divergence_std,elongation_std,dispersion_angle_std,expansion_rate_std
Simu_80.MP4,simulation,70,26.6127,68.0985,179.7916,0.1849,1.9584,2.1982,1.6134,47.0132,0.3821,9.182,22.3119,92.5781,0.2211,1.4008,1.832,0.4467,27.4722,1.4083
Simu_81.MP4,simulation,67,24.6423,62.7867,177.209,0.2417,1.8562,1.9506,1.6204,42.351,1.7422,11.3551,27.0054,95.3162,0.2656,1.7876,1.4936,0.4843,26.6442,10.2479
Simu_82.MP4,simulation,60,24.6089,64.8403,188.5149,0.1841,1.5766,2.2075,1.8465,38.944,0.5711,10.2369,26.1116,104.5814,0.1989,1.4297,1.7476,0.6445,27.8073,2.0179
Simu_83.MP4,simulation,64,23.0682,58.4063,175.9918,0.2549,1.8822,2.0416,1.7433,36.4354,0.4502,12.7856,31.0161,102.4102,0.2792,1.6803,2.0663,0.6612,27.4732,1.6375
Simu_84.MP4,simulation,62,25.2783,63.9735,195.3804,0.2056,1.7565,2.0804,1.7947,32.1293,0.4454,11.0506,26.5384,102.658,0.2432,1.3849,1.8829,0.719,24.8243,1.5672
Simu_85.MP4,simulation,85,23.8957,60.6237,179.1823,0.2118,1.7073,2.1805,1.7277,37.4713,0.5169,11.7548,29.0234,111.3934,0.2705,1.5012,2.0387,0.6166,28.2574,1.5538
Simu_86.MP4,simulation,75,24.0275,62.4039,203.7354,0.2024,1.4833,1.7452,1.8346,39.5933,0.4475,10.7262,25.6201,95.4722,0.2202,1.3108,1.461,0.6677,30.085,1.4172
Simu_87.MP4,simulation,58,20.8435,54.2287,180.7074,0.3135,1.572,1.8325,1.7286,44.1175,0.4154,13.3804,33.5761,106.4187,0.3111,1.5217,1.9219,0.5842,26.4203,1.3003
Simu_88.MP4,simulation,80,24.6858,63.4718,200.2753,0.2395,1.6019,1.7364,1.6462,45.1748,0.3872,11.1378,27.401,105.4831,0.2672,1.4367,1.4818,0.5519,27.6408,1.1753
Simu_89.MP4,simulation,50,25.3075,64.3672,195.4862,0.1701,1.7346,1.7175,1.7328,43.4373,0.6892,10.3085,26.23,100.5032,0.1626,1.3854,1.5242,0.5936,27.6954,2.1587
Simu_90.MP4,simulation,60,25.4869,65.5757,201.3301,0.2194,1.9958,2.5422,1.7045,36.8032,0.4472,10.1672,24.9576,105.7502,0.253,1.4551,2.0403,0.5748,28.305,1.5159
Simu_91.MP4,simulation,72,24.3902,63.5154,185.5674,0.2359,1.8922,1.7738,1.7722,40.6406,0.3712,11.1901,28.5038,103.7867,0.2704,1.5933,1.6465,0.6102,28.9156,1.258
Simu_92.MP4,simulation,65,0.0267,0.2635,183.0498,0.3477,0.0034,0.0042,1.1106,83.6649,0,0.0183,0.1991,97.7185,0.2271,0.0036,0.0042,0.0002,0.1466,0.0003
Simu_93.MP4,simulation,65,25.6313,65.3499,196.4939,0.2009,1.8127,1.627,1.65,41.2646,0.3385,10.552,24.6374,95.0427,0.2419,1.6465,1.6081,0.4459,27.9245,1.1807
Simu_94.MP4,simulation,99,0.0277,0.2064,134.1978,0.4692,0.0021,0.0036,1.6586,77.0147,0.0074,0.0288,0.2236,114.6156,0.2639,0.0027,0.0059,2.8144,18.5294,0.1351
Simu_95.MP4,simulation,99,19.8073,54.962,175.1857,0.268,1.5322,1.6699,2.7955,39.3648,0.9156,12.2542,31.7103,100.4787,0.2723,1.5914,1.5818,4.025,29.0246,2.6345
Simu_96.MP4,simulation,71,0.1598,1.0025,155.8609,0.4402,0.0055,0.0226,1.9474,78.5036,0.0057,1.0432,5.9902,105.5646,0.2752,0.0241,0.1496,3.7636,16.4588,0.1144
Simu_97.MP4,simulation,69,24.5674,65.6847,210.2698,0.1763,1.6604,1.7427,4.0839,34.9377,0.676,9.708,24.3301,108.6049,0.156,1.5958,1.4737,6.4837,30.3211,2.0929
Simu_98.MP4,simulation,72,0.0282,0.2,142.949,0.5196,0.0021,0.0037,2.0352,77.4335,0.001,0.0305,0.2205,110.1091,0.2763,0.0029,0.0052,3.7686,18.7443,0.0451
Simu_99.MP4,simulation,72,21.4877,56.6869,170.3243,0.3027,1.5865,1.4881,4.5306,32.8649,0.615,12.6065,31.0414,97.8388,0.2967,1.6229,1.5127,6.7293,27.4884,1.7348
Simu_100.MP4,simulation,67,0.0359,0.3411,142.1859,0.4228,0.0041,0.0065,1.4585,79.2139,0.0029,0.048,0.7796,112.7911,0.2428,0.0141,0.018,2.2443,13.3942,0.0793
